species,iucnRedListCategory
Holcosus quadrilineatus,LC
Anolis limifrons,LC
Tantilla armillata,LC
Caiman crocodilus,LC
Gymnophthalmus speciosus,LC
Rhinoclemmys punctularia,NE
Anolis microtus,LC
Trimorphodon biscutatus,LC
Eretmochelys imbricata,CR
Masticophis mentovarius,LC
Drymobius melanotropis,LC
Oxyrhopus petolarius,LC
Geophis talamancae,EN
Trimetopon simile,EN
Trachemys grayi,NE
Crocodylus moreletii,LC
Coniophanes fissidens,LC
Leptodrymus pulcherrimus,LC
Chironius exoletus,LC
Anolis fungosus,NT
Erythrolamprus epinephalus,NE
Dendrophidion nuchale,LC
Gonatodes albogularis,LC
Sphaerodactylus millepunctatus,LC
Urotheca guentheri,LC
Crisantophis nevermanni,LC
Rhadinella godmani,LC
Anolis oxylophus,LC
Celestus hylaius,NT
Leptodeira rubricata,LC
Geophis brachycephalus,LC
Sphaerodactylus glaucus,LC
Clelia scytalina,LC
Holcosus festivus,LC
Gonatodes caudiscutatus,LC
Iguana rhinolopha,NE
Scincella cherriei,LC
Rhadinella serperaster,LC
Porthidium porrasi,LC
Ctenosaura acanthura,LC
Anomalepis mexicana,DD
Leptodeira annulata,LC
Anolis benedikti,EN
Sceloporus squamosus,LC
Anolis quaggulus,LC
Corallus ruschenbergerii,LC
Leptophis mexicanus,LC
Marisora alliacea,LC
Oxybelis fulgidus,LC
Gonatodes vittatus,LC
Anolis leditzigorum,NE
Chironius flavopictus,DD
Lachesis stenophrys,NT
Micrurus mipartitus,LC
Aspidoscelis deppii,LC
Diploglossus bilobatus,LC
Caiman yacare,LC
Urotheca pachyura,LC
Sibon argus,LC
Ninia celata,NT
Cerrophidion sasai,NE
Dipsas articulata,LC
Abronia monticola,NE
Enuliophis sclateri,LC
Diploglossus monotropis,LC
Dipsas tenuissima,NT
Lepidophyma flavimaculatum,LC
Anolis monteverde,CR
Porthidium ophryomegas,LC
Anolis townsendi,LC
Corallus hortulana,LC
Anolis woodi,LC
Anolis carpenteri,LC
Amerotyphlops costaricensis,LC
Anolis polylepis,LC
